roll,pitch,yaw,x,y,z
-1.9506897000672494,-64.30365489098064,-13.340579972826898,-30.229399528214675,-47.139729459789521,480.6952068775887
-2.1012147638123526,-64.07590076666087,-13.174799385812506,-30.130512029733843,-46.20187891799182,479.68467860095717
-2.2081252219750134,-64.00598399774108,-13.030965829979497,-30.114400862431449,-45.280728140932695,479.3442855380477
-2.387930228690005,-63.875771911762875,-12.829086112930039,-30.048611228929232,-44.346238172063593,478.66409450078555
-2.9094767663254255,-63.99268731491241,-12.272525515097199,-30.047222868094416,-43.445749212634176,478.42128811115674
-2.950950022346431,-63.819274468731656,-12.177457290501605,-30.035399126953269,-42.691504439762276,477.75920047566728
-2.8596067787137875,-63.7284774010095,-12.257382348975893,-30.231815450264808,-42.007934780861028,477.28777389506121
-2.891580460486287,-63.63891430618744,-12.177288161766876,-30.455699428813297,-41.539427889774473,477.0581458307218
-3.1531801942525286,-63.8123601533395,-11.870449522238381,-30.763632741203736,-41.118300557567188,477.42963686364368
-3.63847622211189,-63.93925048694085,-11.26831868568507,-31.097431357018802,-40.842827068313504,477.4458511916244
-3.473260887969271,-64.17914609826124,-11.433360213941018,-31.65292456746873,-40.78527843792223,477.64578105334152
